FIRST,LAST,TEAM,AGE,HEIGHT,INCHES,TOTAL_HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Max,Strus,MIA,27,6,5,77,215,DePaul,USA,Undrafted,Undrafted,Undrafted,80,42,38,28.4,11.5,4.1,9.9,41,2.5,7,35,1,1.1,87.6,0.6,2.6,3.2,2.1,0.9,0.5,0.2,2.1,19.8,2,0,-1.8,-3.8,2.1,9.7,17,55.7,11.5
Jalen,Suggs,ORL,22,6,5,77,205,Gonzaga,USA,2021,1,5,53,20,33,23.5,9.9,3.5,8.4,41.9,1.2,3.8,32.7,1.6,2.2,72.3,1,2,3,2.9,1.8,1.3,0.5,2.3,21.5,0,0,-0.8,-1.3,4.4,8.3,19.6,52.8,17.9
Edmond,Sumner,BKN,27,6,4,76,196,Xavier,USA,2017,2,52,53,33,20,13.9,7.1,2.3,5.1,46.1,0.6,1.6,35.6,1.9,2,91.7,0.2,1.2,1.5,1.3,0.9,0.6,0.2,1.6,12.2,0,0,0.5,1.7,1.9,8.6,20.9,59.7,13
Cole,Swider,LAL,24,6,9,81,220,Syracuse,USA,Undrafted,Undrafted,Undrafted,7,2,5,5.9,1.3,0.4,1.3,33.3,0.4,1.1,37.5,0,0,0,0.1,0.9,1,0.6,0,0,0,0.4,3.3,0,0,0.4,3.3,2.4,15.8,8.9,50,10.5
Jae'Sean,Tate,HOU,27,6,5,77,230,Ohio State,USA,Undrafted,Undrafted,Undrafted,31,7,24,21.9,9.1,3.5,7.4,48,0.4,1.5,28.3,1.6,2.2,72.5,1.3,2.5,3.8,2.7,1.5,0.7,0.2,3.4,19,0,0,-3,-7.3,5.4,11.4,17.8,54.6,18.4
Jayson,Tatum,BOS,25,6,8,80,210,Duke,USA,2017,1,3,74,52,22,36.9,30.1,9.8,21.1,46.6,3.2,9.3,35,7.2,8.4,85.4,1.1,7.7,8.8,4.6,2.9,1.1,0.7,2.2,49.9,31,1,6.4,8.5,2.9,20,31.9,60.7,20.5
Terry,Taylor,CHI,23,6,4,76,230,Austin Peay,USA,Undrafted,Undrafted,Undrafted,31,13,18,8.5,2.9,1.3,2.4,52,0.2,0.6,26.3,0.2,0.4,54.5,0.9,0.6,1.5,0.3,0.3,0.1,0.2,0.8,5.8,0,0,0.6,4.5,8.8,7.6,12.9,55.7,5.2
Garrett,Temple,NOP,37,6,6,78,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,25,16,9,6.5,2,0.7,1.8,40,0.4,1,42.3,0.1,0.2,75,0.2,0.5,0.7,0.5,0.2,0.4,0.1,0.6,4.8,0,0,-0.7,-5.3,2.7,6.9,12.3,53.5,11.7
Dalen,Terry,CHI,20,6,7,79,195,Arizona,USA,2022,1,18,38,19,19,5.6,2.2,0.8,1.9,44.4,0.2,0.7,25.9,0.4,0.6,66.7,0.3,0.7,1,0.6,0.2,0.3,0.1,0.6,5.3,0,0,0.3,3.3,5.6,11.7,17.3,52.3,15.7
Daniel,Theis,IND,31,6,8,80,245,None,Germany,Undrafted,Undrafted,Undrafted,7,1,6,15.5,7,3,6.3,47.7,0.3,1.6,18.2,0.7,1.7,41.7,1,2.1,3.1,1.3,0.4,0.3,0.9,1,15.7,0,0,-2.7,-8.2,5.9,14.7,20.1,49.7,12.5
Cam,Thomas,BKN,21,6,3,75,210,Louisiana State,Japan,2021,1,27,57,30,27,16.6,10.6,3.5,8,44.1,0.9,2.3,38.3,2.6,3.1,86.8,0.1,1.5,1.7,1.4,1.1,0.4,0.1,1,15,0,0,-0.1,-1.6,0.9,8.9,26.8,56.7,13.3
